Transaction_ID,Date,Customer_ID,Region,Product,Units,Unit_Price,Revenue,Margin_Percent,Target_Margin_Percent
T001,2026-01-05,C001,Western,Advisory,2,65000,130000,38,35
T002,2026-01-09,C002,Nairobi,Training,5,18000,90000,31,32
T003,2026-01-14,C003,Nyanza,Research,1,95000,95000,42,40
T004,2026-01-20,C004,Western,Training,4,18000,72000,29,32
T005,2026-02-03,C005,Nairobi,Analytics,2,52000,104000,36,35
T006,2026-02-11,C006,Nyanza,Training,3,18000,54000,34,32
T007,2026-02-18,C007,Western,Analytics,1,52000,52000,33,35
T008,2026-03-02,C008,Nairobi,Research,1,95000,95000,39,40
T009,2026-03-10,C009,Nyanza,Advisory,1,65000,65000,37,35
T010,2026-03-17,C010,Western,Research,1,76250,76250,41,40
T011,2026-03-22,C011,Nairobi,Training,2,18000,36000,30,32
T012,2026-03-28,C012,Nyanza,Analytics,1,89500,89500,34,35
